semantic,image_name
unk_semantic_0x0,weapon_vm_sm_papa90_v11_shroudcust_c&weapon_vm_sm_papa90_v11_shroudcust_s~17979156128452699837
unk_semantic_0x1,loot_albedo_255_c&loot_spec_56_s~5675690868327036099
unk_semantic_0x2,loot_albedo_255_c&loot_spec_56_s~5675690868327036099
unk_semantic_0x9,weapon_vm_sm_papa90_v11_shroudcust_n&weapon_vm_sm_papa90_v11_shroudcust_g~4035802143707999409
unk_semantic_0xA,loot_normal_flat_n&loot_gloss_plastic_semi_clean_01_g~9038792928925010442
unk_semantic_0xB,loot_normal_flat_n&loot_gloss_plastic_semi_clean_01_g~9038792928925010442
unk_semantic_0x1C,loot_opacity_0_a~9440971554242690592
unk_semantic_0x1D,loot_opacity_0_a~9440971554242690592
unk_semantic_0x3B,$black
unk_semantic_0x3C,$black
unk_semantic_0x3D,$black
unk_semantic_0x7B,weapon_vm_sm_papa90_v11_shroudcust_cm
unk_semantic_0x7C,weapon_vm_sm_papa90_v11_shroudcust_cm
